port_id,countrycode
279,USA
278,USA
280,USA
281,USA
282,USA
283,USA
284,USA
285,USA
286,USA
287,USA
288,USA
289,USA
290,USA
291,USA
292,USA
293,USA
294,USA
295,USA
387,USA
386,USA
384,USA
385,USA
383,USA
382,USA
381,USA
380,USA
379,USA
378,USA
377,USA
376,USA
375,USA
374,USA
373,USA
372,USA
371,USA
370,USA
369,USA
366,USA
365,USA
364,USA
364,USA
363,USA
361,USA
362,USA
367,USA
368,USA
360,USA
359,USA
358,USA
356,USA
357,USA
355,USA
354,USA
353,USA
351,USA
352,USA
350,USA
349,USA
348,USA
346,USA
347,USA
344,USA
345,USA
342,USA
343,USA
341,USA
340,USA
339,USA
338,MEX
337,MEX
336,MEX
335,MEX
334,MEX
333,MEX
332,MEX
331,MEX
330,MEX
329,MEX
327,MEX
328,MEX
326,MEX
325,MEX
471,MEX
472,MEX
102,MEX
103,MEX
104,MEX
105,MEX
106,MEX
467,BLZ
470,BLZ
469,BLZ
468,BLZ
466,BLZ
465,BLZ
464,BLZ
107,BLZ
108,BLZ
461,BLZ
462,BLZ
109,BLZ
463,BLZ
459,GTM
460,GTM
110,GTM
111,GTM
112,HND
113,HND
114,HND
115,HND
456,HND
457,HND
116,HND
458,HND
117,HND
455,HND
454,HND
118,NIC
451,NIC
452,NIC
448,NIC
447,NIC
446,NIC
444,NIC
445,NIC
443,NIC
442,NIC
450,NIC
449,NIC
120,NIC
121,NIC
440,CRI
441,CRI
122,CRI
123,PAN
124,PAN
439,PAN
438,PAN
125,PAN
437,PAN
126,PAN
435,PAN
433,PAN
436,PAN
128,PAN
129,PAN
127,PAN
431,PAN
432,PAN
434,PAN
433,PAN
430,PAN
428,PAN
429,PAN
427,PAN
426,PAN
425,PAN
424,PAN
999,CPAN
453,COL
422,COL
119,COL
423,COL
421,COL
420,COL
419,COL
418,COL
417,COL
416,COL
130,COL
131,COL
132,COL
414,COL
415,COL
133,COL
134,COL
135,COL
136,COL
137,COL
138,COL
139,COL
140,COL
413,COL
141,COL
412,COL
411,COL
410,COL
142,COL
409,VEN
408,VEN
407,VEN
148,VEN
149,VEN
406,VEN
405,VEN
151,VEN
150,VEN
402,VEN
403,VEN
404,VEN
143,VEN
144,VEN
145,VEN
146,VEN
147,VEN
153,VEN
152,VEN
154,VEN
155,VEN
156,VEN
157,VEN
401,VEN
159,VEN
158,VEN
160,VEN
400,VEN
398,VEN
399,VEN
162,VEN
161,VEN
397,VEN
396,VEN
163,VEN
164,VEN
