port_id,port_name,country_code,bulk,cont,crui,gcar,iisl,serv,tank,TOTAL_VISITES
1,Port-of-Spain,TTO,5,442,23,35,567,387,167,1626
3,Vieux Fort,LCA,8,0,0,20,0,10,59,97
4,Spanish Town,VGB,0,0,0,3,1358,7,10,1378
5,Fort-de-France,MTQ,8,137,160,98,441,32,164,1040
6,Long Point Nevis,KNA,1,0,0,49,48,7,19,124
8,Claxton Bay,TTO,2,0,0,56,0,14,0,72
9,Pockwood Pond,VGB,0,0,0,20,2,37,54,113
10,Bellefontaine,MTQ,0,0,0,0,0,0,5,5
11,Oistins,BRB,0,0,0,0,0,0,26,26
12,Parham,ATG,22,0,0,1,0,66,0,89
13,Oranjestad,ABW,0,0,260,26,0,445,7,738
14,Gustavia,MAF,0,0,1,0,7,13,39,60
15,Salina,BES,7,0,0,24,0,8,0,39
16,Folle-Anse,GLP,1,0,0,0,0,10,0,11
17,Sint Nicholas,ABW,0,0,0,0,0,266,18,284
18,Limetree Bay,VIR,1,186,0,75,0,78,296,636
20,Grand-Bourg,GLP,0,0,0,0,410,1,0,411
21,Frederiksted,VIR,0,0,17,0,0,0,0,17
22,Tyrell Bay,GRD,0,0,0,9,283,3,8,303
23,Oranjestad,BES,0,0,2,2,55,177,289,525
26,Anguilla,AIA,0,0,1,12,0,4,0,17
27,Portsmouth,DMA,1,0,26,0,320,3,0,350
28,Red Hook,VIR,0,0,0,0,1129,0,0,1129
29,Port Elizabeth,VCT,0,0,0,1,568,0,20,589
31,Philipsburg,SXM,29,265,540,127,183,189,1,1334
32,Basseterre,KNA,1,41,331,96,411,59,58,997
33,Bullenbaai,CUW,0,0,0,0,0,38,2,40
34,Mustique,VCT,0,0,0,0,1,2,18,21
35,Castries,LCA,3,122,324,56,232,49,258,1044
36,Terre-de-Haut,GLP,0,0,10,0,260,0,0,270
37,Grand Mal,GRD,0,0,0,0,0,1,99,100
38,Scarborough,TTO,0,0,19,0,505,4,0,528
39,Bopec Terminal,BES,0,0,0,0,0,2,2,4
40,Scrub Island,VGB,0,0,0,3,3,0,0,6
41,Point Fortin,TTO,0,0,0,0,0,56,173,229
43,Bridgetown,BRB,49,221,393,60,1,8,74,806
44,Sint Michielsbaai,CUW,0,0,0,0,0,16,3,19
46,Saint-Louis,GLP,0,0,0,0,28,0,5,33
47,Mayreau,VCT,0,0,6,0,88,0,0,94
48,Barbuda,ATG,0,0,0,3,0,53,0,56
49,Fort Bay,BES,0,0,5,0,56,0,5,66
50,Anegada,VGB,0,0,0,0,18,1,0,19
51,Cronstadt Island,TTO,1,0,0,1,0,15,5,22
52,Road Town,VGB,0,0,204,161,1372,42,35,1814
53,Charlestown,VCT,0,0,0,0,129,1,0,130
54,Point Galeota,TTO,0,0,0,1,0,25,0,26
55,Cruz Bay,VIR,0,0,0,0,987,0,0,987
57,Basse-Terre,GLP,3,0,4,23,5,6,0,41
58,Canefield,DMA,22,0,0,0,0,0,38,60
59,Kralendijk,BES,0,0,132,246,0,48,0,426
60,St George s,GRD,22,137,172,65,284,6,12,698
62,Caracas Baai,CUW,0,0,0,0,0,14,1,15
64,Fuikbaai,CUW,5,0,0,69,0,29,0,103
65,Pointe a Pierre,TTO,0,0,0,0,0,213,375,588
66,Willemstad,CUW,8,185,258,286,1,206,93,1037
68,St John s,ATG,2,49,314,170,68,17,3,623
69,Roseau,DMA,4,29,121,92,569,8,20,843
70,Marigot,MAF,2,0,15,25,57,15,38,152
72,Petite Martinique,GRD,0,0,0,0,0,1,0,1
73,Point Lisas,TTO,48,402,0,188,0,572,510,1720
74,Charlestown,KNA,0,0,5,4,320,2,0,331
75,Christiansted,VIR,0,0,0,0,3,48,36,87
76,St Thomas,VIR,7,197,444,288,406,59,32,1433
78,Clifton,VCT,0,0,0,1,76,0,0,77
79,Pointe-a-Pitre,GLP,5,200,106,97,901,47,146,1502
80,Brighton,TTO,0,0,0,21,0,39,1,61
81,Checker Hall,BRB,38,0,0,12,0,0,0,50
83,Plymouth,MSR,0,0,0,15,0,77,0,92
84,Le Marin,MTQ,0,0,0,0,88,0,0,88
85,Kingstown,VCT,3,130,91,73,684,3,18,1002
86,Grande Anse,GLP,0,0,0,0,82,0,0,82
87,Jimmit,DMA,0,0,0,1,0,0,18,19
88,Little Bay,MSR,0,0,5,21,54,25,0,105
89,Saint-Pierre,MTQ,0,0,0,0,88,26,0,114
91,Barcadera,ABW,6,151,0,76,0,567,11,811
92,Jost Van Dyke,VGB,0,0,0,0,4,0,0,4
94,Tortola,VGB,0,0,0,0,28,0,0,28
95,Coles Bay,SXM,0,0,0,0,1,24,109,134
96,Trois Rivieres,GLP,0,0,0,0,83,0,0,83
97,Beef Island,VGB,0,0,0,1,325,2,0,328
98,Chaguaramas,TTO,13,2,0,30,13,252,23,333
100,Gros Islet,LCA,0,0,0,0,84,0,0,84
101,Point Cumana,TTO,0,0,0,0,0,81,0,81
102,Puerto Morelos,MEX,0,12,0,41,1,0,0,54
103,Playa del Carmen,MEX,0,0,0,0,5027,0,0,5027
104,Punta Venado,MEX,168,0,0,21,1633,0,0,1822
105,Cozumel,MEX,0,0,1254,1,6668,1,0,7924
106,Puerto Costa Maya,MEX,0,0,260,0,0,0,0,260
107,Belize City,BLZ,0,80,2,56,0,0,0,138
109,Big Creek,BLZ,3,19,0,11,0,12,4,49
110,Santo Tomas de Castilla,GTM,34,500,19,32,0,31,83,699
111,Puerto Barrios,GTM,7,270,0,1,0,28,20,326
112,Puerto Cortes,HND,90,776,4,67,0,5,89,1031
115,Utila,HND,0,0,2,0,0,0,0,2
116,Coxen Hole,HND,0,0,131,1,0,0,0,132
117,Puerto Castilla,HND,0,59,0,0,0,0,18,77
118,Puerto Cabezas,NIC,0,0,0,0,0,0,5,5
119,San Andres Island,COL,0,0,0,176,0,0,28,204
121,Puerto de Bluff,NIC,0,0,0,33,0,0,7,40
122,Puerto Limon,CRI,20,873,90,41,2,1,120,1147
123,Almirante,PAN,0,48,0,1,0,0,0,49
